ID,name,category,price_tear,neighborhood,open_hour,close_hour,avg_rating,forKids
1,Khichdi Etc,Brasserie and Bistro,cheap,Washington Height,01:00,20:00,4,1
2,The Sugar Fairy,Chinese,medium,Prospect Heights,00:00,16:00,2,0
3,Lijjat Khaman,Lebanese,expensive,Lower East Side,08:00,23:00,5,0
4,Empire Restaurant,Indian,cheap,Midtown East,03:00,16:00,4,0
5,Bharat Krishna Bakery,Ethnic,medium,Canarsie,00:00,15:00,1,1
6,R Kitchen - Renaissance Hotel,Destination Restaurant,expensive,Hell's Kitchen,10:00,17:00,5,1
7,Rajkamal Bakery,Turkish,cheap,East Harlem,11:00,12:00,4,1
8,Yanki Sizzlers,Destination Restaurant,medium,Prospect Heights,02:00,13:00,2,1
9,Dhoom Dhaam,Pakistani,expensive,Hamilton Heights,10:00,20:00,2,0
10,Nanjing,Buffet,medium,Flatbush,02:00,16:00,3,1
11,Dolci Desserts,Pakistani,medium,Lower Manhattan,01:00,17:00,5,1
12,Shri Jay Jalaram Khaman House,Coffee,medium,Gramercy Park,03:00,19:00,1,1
13,Burgrill,Fine Dining,medium,Red Hook,06:00,14:00,4,1
14,Amnesia - Aarya Grand,Brasserie and Bistro,cheap,Lower Manhattan,03:00,12:00,2,1
15,M Cafe - Bengaluru Marriott Hotel Whitefield,Cafe,cheap,Flushing,11:00,23:00,1,0
16,All The Perks Espresso Cafe,Tabletop cooking,medium,Upper East Side,04:00,20:00,5,0
17,Dangee Dums Yums,Buffet,medium,Prospect Heights,02:00,13:00,4,1
18,Shiro,Continental,expensive,Union Square,04:00,20:00,4,1
19,Fire Station,Continental,cheap,Long Island City,03:00,12:00,1,1
20,JW Kitchen - JW Marriott Bengaluru,Premium Casual,medium,Canarsie,08:00,20:00,4,0
21,The Blue Wagon - Kitchen,Destination Restaurant,medium,Financial District,07:00,23:00,5,0
22,Ranganna Military Hotel,Pakistani,cheap,Red Hook,01:00,15:00,3,1
23,JW Kitchen - JW Marriott Bengaluru,Brasserie and Bistro,medium,Lower Manhattan,00:00,19:00,2,1
24,Stoner,Buffet,cheap,Bushwick,05:00,18:00,1,1
25,Vanilla The Cake Shop,Fine Dining,medium,Inwood,05:00,16:00,2,0
26,70 Degrees East,Chinese,cheap,Nolita,06:00,12:00,3,1
27,Nini's Kitchen,Pakistani,medium,Union Square,05:00,18:00,1,1
28,Bhookh Lagi Hai,Destination Restaurant,medium,East Village,10:00,16:00,2,0
29,Tea Villa Cafe,Fast Food,medium,Flatbush,00:00,12:00,5,0
30,The Chocolate Heaven,Lebanese,medium,Murray Hill,01:00,17:00,2,0
31,Little French House,Ethnic,cheap,Dumbo,04:00,23:00,5,1
32,Massala Theoryy,Chinese,cheap,Long Island City,04:00,17:00,2,1
33,O Chicken India -  Oil Free Healthy Chicken,Italian,cheap,Gramercy Park,01:00,12:00,1,0
34,Midnight Cakery,Cafe,expensive,Nolita,07:00,00:00,3,0
35,Little French House,Fast Food,medium,Midtown East,09:00,19:00,2,1
36,Big Bite Fast Food,Cafe,medium,Prospect Heights,02:00,16:00,3,0
37,Riwaz - The Ritz-Carlton,Fast Food,medium,Chinatown,06:00,22:00,1,0
38,Sundarams,Greasy Spoon,expensive,Upper West Side,04:00,15:00,4,1
39,La Casa Brewery And Kitchen,Buffet,medium,SoHo,02:00,11:00,3,1
40,Sri Krishna Upahara,Italian,expensive,Long Island City,07:00,13:00,2,1
41,Manjit Da Dhaba,Thai,cheap,Lower East Side,01:00,17:00,4,1
42,City Buzz Reloaded,Family Style,medium,Flatbush,02:00,15:00,4,0
43,Mocha,Fine Dining,cheap,Flatbush,08:00,23:00,4,0
44,Giselle Resto Cafe,Tabletop cooking,medium,Murray Hill,01:00,13:00,3,0
45,The Chocolate Heaven,Indian,cheap,Flatbush,10:00,23:00,3,1
46,Brown & Happy,Buffet,expensive,Lower East Side,07:00,15:00,2,1
47,FourFolks,Indian,expensive,Long Island City,09:00,18:00,4,1
48,Biryani By Kilo,Thai,cheap,Bushwick,05:00,12:00,5,0
49,Bake Ur Wish,Coffee,cheap,East Village,07:00,16:00,4,1
50,Taaza Thindi,Buffet,expensive,Little Italy,10:00,20:00,4,1
51,Tangled,Premium Casual,medium,Gramercy Park,02:00,16:00,2,1
52,Kylin Experience,Family Style,medium,Marble Hill,03:00,19:00,4,0
53,Kebabs & Kurries - ITC Gardenia,Fast Food,cheap,SoHo,04:00,12:00,4,1
54,The Secret Kitchen,Ethnic,cheap,Fort Greene,09:00,16:00,5,1
55,Mane Holige,Greasy Spoon,cheap,Lower East Side,02:00,21:00,4,0
56,Tucker's House,Casual Dining,expensive,Little Italy,01:00,13:00,5,0
57,Baba Dairy,Fast Casual,cheap,Canarsie,00:00,23:00,3,0
58,Incanto - The Zuri,Greasy Spoon,cheap,Long Island City,03:00,23:00,3,1
59,Hashtag,Italian,expensive,Murray Hill,03:00,18:00,1,1
60,Gods Own Cafe,Premium Casual,cheap,Flatiron District,08:00,22:00,4,0
61,Hardy's Cafe,Buffet,medium,Gramercy Park,09:00,23:00,1,1
62,Loft,Lebanese,medium,Williamsburg,09:00,14:00,5,1
63,Cake Zone,Fine Dining,medium,East Harlem,03:00,17:00,1,0
64,Onesta,Casual Dining,expensive,Greenwich Village,01:00,23:00,4,0
65,Maruti Dining Hall,Indian,expensive,Lower East Side,03:00,21:00,5,0
66,Zen - The Leela Palace,Indian,expensive,Gramercy Park,10:00,21:00,1,1
67,Rp's Pizzeria,Italian,cheap,Upper West Side,01:00,16:00,4,1
68,Pradhan Dhaba,Turkish,expensive,Astoria,06:00,20:00,3,1
69,Fresh Roast - Mani Mansion,Continental,medium,Financial District,01:00,20:00,1,0
70,The Hedgehog Café,Casual Dining,medium,Upper East Side,04:00,14:00,3,1
71,Nanjing,Fast Food,expensive,Washington Height,10:00,11:00,5,0
72,Dhuaan,Coffee,medium,Little Italy,08:00,18:00,5,1
73,Pizza Galleria,Fast Casual,medium,Morningside Heights,09:00,20:00,1,1
74,Juggernaut,Indian,medium,Prospect Heights,07:00,11:00,3,0
75,Appetize The Bistro,Thai,cheap,Long Island City,01:00,20:00,5,1
76,Capital Bakery,Indian,expensive,Bushwick,01:00,00:00,2,1
77,Bollywood Lounge,Buffet,cheap,Gramercy Park,00:00,17:00,2,1
78,Classic 44,Chinese,medium,Gramercy Park,07:00,19:00,2,0
79,Cafe Soul Desires,Lebanese,cheap,Brooklyn Heights,04:00,23:00,1,1
80,Café 77 East - Taj Bangalore,Lebanese,expensive,Tribeca,04:00,14:00,3,0
81,The Globe Grub,Indian,cheap,Battery Park City,08:00,21:00,3,1
82,Xtreme Sports Bar & Grill,Greasy Spoon,expensive,Financial District,01:00,20:00,3,0
83,Cafe De Italiano,Destination Restaurant,medium,Park Slope,03:00,17:00,5,1
84,JnJ's,Greasy Spoon,expensive,Harlem,02:00,21:00,1,1
85,Shiro,Thai,medium,Marble Hill,06:00,11:00,5,0
86,Cocoa Drama,Destination Restaurant,medium,Marble Hill,11:00,21:00,4,1
87,Wagh Bakri Tea Lounge,Fast Food,cheap,Lower East Side,09:00,00:00,2,0
88,Narula Bakery,Fast Food,cheap,Harlem,01:00,13:00,1,1
89,Bakingo,Pakistani,medium,Fort Greene,03:00,14:00,4,0
90,Khichdi Etc,Cafe,expensive,Battery Park City,08:00,19:00,1,0
91,Timpani - Radisson Blu,Greasy Spoon,cheap,Harlem,10:00,22:00,5,0
92,Jack Bakers,Coffee,cheap,Hamilton Heights,06:00,21:00,4,1
93,The Hole In The Wall Cafe,Brasserie and Bistro,expensive,Astoria,01:00,19:00,4,0
94,Laxmi Bakery,Greasy Spoon,cheap,Brooklyn Heights,06:00,11:00,4,1
95,Vidyarthi Bhavan,Italian,expensive,Union Square,05:00,22:00,2,1
96,Fresh Roast - Mani Mansion,Lebanese,expensive,Flatiron District,10:00,19:00,2,1
97,Shang Palace - Shangri-La Hotel,Thai,medium,Greenpoint,10:00,19:00,4,1
98,ANTIGRAVITY,Buffet,cheap,Fort Greene,04:00,14:00,3,1
99,Chilli 65,Buffet,expensive,Marble Hill,06:00,14:00,2,0
100,The Kronks,Casual Dining,cheap,Gramercy Park,01:00,00:00,5,0
101,Sidewalk - The Garden Bar,Thai,expensive,Union Square,06:00,11:00,3,1
102,Karavalli - The Gateway Hotel,Mongolian barbecue,expensive,Gramercy Park,09:00,11:00,3,1
103,HOP - Double Tree By Hilton,Lebanese,cheap,Prospect Heights,08:00,23:00,3,1
104,HVR Veg,Casual Dining,expensive,Flatiron District,06:00,22:00,1,0
105,Truffles,Buffet,medium,Canarsie,10:00,18:00,3,1
106,Tamarind - Taj Bangalore,Coffee,cheap,Harlem,06:00,22:00,5,1
107,The Tasty Hub,Chinese,medium,Morningside Heights,04:00,00:00,2,1
108,Dhaba Estd. 1986 Delhi,Casual Dining,medium,Canarsie,06:00,14:00,1,1
109,Mavalli Tiffin Room (MTR),Turkish,cheap,Nolita,06:00,23:00,5,1
110,Brew Bros,Greasy Spoon,medium,Lower East Side,00:00,11:00,4,1
111,Gwalia Sweets,Chinese,expensive,Morningside Heights,03:00,23:00,1,0
112,Citrus Cafe - Lemon Tree Premier,Pakistani,expensive,Gramercy Park,06:00,18:00,3,1
113,Chili's,Brasserie and Bistro,cheap,Nolita,04:00,16:00,1,0
114,Royal Punjab Paratha,Family Style,cheap,East Village,11:00,21:00,2,0
115,Tijouri - Radisson Blu Atria,Thai,medium,Washington Height,03:00,21:00,3,1
116,PunChin,Casual Dining,cheap,Upper West Side,01:00,20:00,5,0
117,New Capital Bakery,Fast Food,expensive,Union Square,10:00,18:00,4,1
118,Spice Terrace - JW Marriott,Buffet,cheap,Bushwick,04:00,19:00,2,1
119,99 Pancakes,Ethnic,expensive,Long Island City,03:00,19:00,4,1
120,Chandigarh Baking Company - JW Marriott,Destination Restaurant,medium,Flatiron District,08:00,13:00,5,0
121,Mooch Marod,Family Style,cheap,Financial District,02:00,12:00,5,1
122,Skytouch Le Cafe,Lebanese,cheap,Hamilton Heights,09:00,18:00,3,0
123,Baithak,Mongolian barbecue,expensive,Astoria,03:00,13:00,1,0
124,Dravida - The Fern,Ethnic,expensive,Upper West Side,06:00,12:00,5,1
125,Sotally Tober,Cafe,cheap,Greenpoint,07:00,00:00,4,0
126,Mane Holige,Thai,cheap,SoHo,09:00,21:00,1,1
127,Dialogue Cafe,Family Style,medium,Red Hook,04:00,16:00,1,0
128,The Home Cake Studio,Casual Dining,cheap,Murray Hill,11:00,12:00,2,0
129,Feast - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,Lebanese,expensive,Red Hook,10:00,17:00,4,0
130,Bombay Adda,Lebanese,medium,Tribeca,11:00,21:00,2,0
131,Tucker's House,Pakistani,cheap,Tribeca,09:00,16:00,5,0
132,CakeAReuni,Buffet,medium,SoHo,04:00,21:00,2,0
133,Loft,Coffee,medium,Flatbush,09:00,16:00,5,1
134,Just Shawarma,Family Style,medium,Nolita,03:00,15:00,3,1
135,Hotel Aditya,Brasserie and Bistro,medium,Harlem,00:00,23:00,1,0
136,Salvadores,Buffet,medium,Morningside Heights,02:00,12:00,2,1
137,Cinnabon,Casual Dining,cheap,Murray Hill,03:00,13:00,3,0
138,And Me Cafe,Turkish,expensive,Tribeca,08:00,16:00,1,1
139,The Escape,Greasy Spoon,medium,Inwood,06:00,17:00,1,1
140,Choc-o-Den,Indian,expensive,Brooklyn Heights,09:00,19:00,4,0
141,Special Amritsari Kulcha,Continental,cheap,Union Square,04:00,18:00,1,0
142,Roots,Thai,medium,Chinatown,10:00,22:00,1,1
143,The Black Pearl,Buffet,medium,Flatiron District,11:00,14:00,4,0
144,Road Side Bells,Chinese,expensive,Nolita,10:00,17:00,4,0
145,Al-Noor Biryani Centre,Thai,medium,Prospect Heights,06:00,13:00,1,1
146,New Polka Bakery,Thai,expensive,Gramercy Park,00:00,15:00,1,0
147,Deccan Paradise,Pakistani,cheap,Battery Park City,10:00,12:00,5,1
148,Backpackers Cafe,Buffet,cheap,Canarsie,02:00,15:00,3,0
149,New Polka Pastry Shop,Premium Casual,cheap,Flushing,10:00,20:00,2,0
150,Cake Culture,Thai,expensive,Harlem,04:00,15:00,1,0
151,Cakes 'N' Stuff,Family Style,expensive,Hell's Kitchen,02:00,12:00,2,0
152,Salvadores,Pakistani,medium,Upper East Side,05:00,13:00,2,1
153,Flax,Italian,cheap,Little Italy,07:00,12:00,3,0
154,1131 Bar + Kitchen,Cafe,cheap,Lower East Side,01:00,21:00,4,1
155,Upri Manzil,Greasy Spoon,expensive,Park Slope,01:00,13:00,1,0
156,Manek Sandwich & Pizza,Greasy Spoon,cheap,East Village,04:00,17:00,1,1
157,Jassi De Parathe,Thai,expensive,Marble Hill,07:00,15:00,3,0
158,Dangee Dums,Tabletop cooking,expensive,Murray Hill,02:00,15:00,4,0
159,TGIH - Thank God It's Healthy,Ethnic,cheap,Washington Height,02:00,15:00,4,1
160,CAFÈ JC's,Casual Dining,expensive,Tribeca,03:00,23:00,5,0
161,The Escape,Premium Casual,expensive,Lower East Side,06:00,22:00,3,0
162,Wagh Bakri Tea Lounge,Fast Casual,medium,Chinatown,09:00,20:00,3,1
163,City Buzz Reloaded,Brasserie and Bistro,medium,Harlem,06:00,23:00,4,0
164,The Tasty Hub,Ethnic,medium,SoHo,03:00,12:00,3,0
165,Kaffee - Mast Hai,Lebanese,medium,Upper East Side,03:00,21:00,2,0
166,Hoglatto,Brasserie and Bistro,medium,Midtown East,10:00,19:00,5,0
167,Curries,Indian,expensive,Battery Park City,00:00,18:00,1,1
168,Petite Sweet,Lebanese,medium,Flushing,04:00,13:00,5,0
169,Dialogue Cafe,Thai,cheap,Nolita,03:00,22:00,5,0
170,Road Side Bells,Mongolian barbecue,expensive,Lower East Side,03:00,13:00,4,0
171,Gardenia - Fortune Park,Greasy Spoon,expensive,Tribeca,01:00,11:00,1,1
172,Gordhan Thaal,Ethnic,cheap,Nolita,05:00,17:00,4,0
173,Redberrys,Casual Dining,cheap,Lower East Side,07:00,23:00,5,1
174,Foxtrot - House of Subculture,Pakistani,cheap,Bushwick,09:00,22:00,5,0
175,Baker's Oven,Fine Dining,expensive,Canarsie,00:00,15:00,2,0
176,Royal Punjab Paratha,Thai,medium,Long Island City,11:00,19:00,3,0
177,Cake Way 70,Casual Dining,medium,Hamilton Heights,03:00,21:00,4,1
178,Cakes N Bakes,Premium Casual,medium,Midtown East,02:00,18:00,1,1
179,Indore Chat House,Buffet,expensive,Lower East Side,09:00,14:00,5,0
180,The Secret Kitchen,Italian,expensive,Nolita,02:00,18:00,1,0
181,La Patisserie,Brasserie and Bistro,cheap,Flushing,03:00,23:00,1,0
182,Creamoholic Cafe & Restaurant,Coffee,cheap,Bushwick,00:00,23:00,5,0
183,Hardy's Cafe,Turkish,expensive,Gramercy Park,04:00,13:00,5,1
184,The Great Kabab Factory - Radisson Blu,Tabletop cooking,medium,Greenpoint,05:00,18:00,4,1
185,Biryani By Kilo,Thai,expensive,Midtown East,01:00,20:00,3,1
186,Popular Burger,Continental,medium,Lower East Side,10:00,16:00,4,1
187,Barbeque Nation,Premium Casual,cheap,Washington Height,11:00,14:00,5,0
188,Starbucks Coffee,Continental,cheap,Morningside Heights,00:00,17:00,3,0
189,Dose Manjanna,Brasserie and Bistro,expensive,Long Island City,10:00,23:00,5,1
190,The Reservoire,Fast Casual,medium,Greenwich Village,09:00,22:00,3,0
191,Mocha,Mongolian barbecue,expensive,Financial District,10:00,22:00,4,1
192,Blue Tokai Coffee Roasters,Premium Casual,cheap,Tribeca,02:00,12:00,4,0
193,Yo! China,Fast Casual,expensive,Flatbush,08:00,00:00,4,0
194,Jashuben Shah Old Pizza,Greasy Spoon,expensive,East Village,04:00,21:00,4,0
195,Roots,Pakistani,cheap,Morningside Heights,09:00,16:00,2,1
196,Justbe Resto Cafe,Continental,expensive,Hamilton Heights,05:00,20:00,4,0
197,South Leaf- The Food Chain,Fast Food,medium,Battery Park City,05:00,12:00,4,0
198,SandwichworkZ - The Fusion Street Cafe,Fine Dining,medium,Flatiron District,03:00,22:00,3,0
199,Tangled,Fast Casual,expensive,Astoria,04:00,12:00,4,1
200,Desi Stuff,Greasy Spoon,expensive,East Village,08:00,17:00,3,1
201,Kamal & Kamal Confectioner,Destination Restaurant,expensive,Upper West Side,07:00,19:00,1,0
202,Lezzetli,Cafe,cheap,Fort Greene,03:00,19:00,5,1
203,Cake Zone,Buffet,medium,Financial District,02:00,15:00,2,1
204,Roots,Premium Casual,cheap,Chelsea,08:00,14:00,5,0
205,Skyline Pizzeria,Fast Food,expensive,Fort Greene,08:00,22:00,1,1
206,Indore Chat House,Ethnic,cheap,Morningside Heights,07:00,16:00,4,1
207,Dice N Dine,Destination Restaurant,cheap,Bushwick,05:00,13:00,4,1
208,Bake Me Away,Italian,cheap,Financial District,02:00,17:00,4,0
209,Pasta Street,Buffet,medium,Murray Hill,06:00,23:00,1,0
210,Amigo's Cafe,Buffet,medium,Gramercy Park,05:00,17:00,5,0
211,Choice Snack Bar,Fine Dining,cheap,Bushwick,11:00,20:00,5,0
212,M Cafe - Bengaluru Marriott Hotel Whitefield,Family Style,medium,Greenwich Village,07:00,23:00,1,1
213,The Hole In The Wall Cafe,Greasy Spoon,medium,Little Italy,02:00,22:00,1,0
214,Anand,Family Style,medium,Gramercy Park,04:00,22:00,5,0
215,Chai Galli,Brasserie and Bistro,expensive,Astoria,07:00,23:00,5,1
216,Castle Grill,Turkish,cheap,Greenwich Village,02:00,13:00,1,1
217,Sphere Lounge - Hotel Ramada,Greasy Spoon,cheap,Inwood,04:00,00:00,2,1
218,The German Bakers,Fine Dining,expensive,East Village,09:00,22:00,3,1
219,La Patron Cafe,Chinese,cheap,Upper West Side,03:00,12:00,1,0
220,CUR8 - Four Seasons Hotel,Thai,expensive,Flatiron District,06:00,15:00,5,0
221,Cubbon Pavilion - ITC Gardenia,Greasy Spoon,medium,Union Square,11:00,19:00,3,0
222,The Market - The Ritz-Carlton,Premium Casual,expensive,Williamsburg,06:00,15:00,5,0
223,Levels Cafe,Indian,cheap,Battery Park City,09:00,20:00,1,0
224,Bayleaf - Courtyard By Marriott,Thai,expensive,Prospect Heights,07:00,19:00,3,0
225,Caprese - Shangri-La Hotel,Turkish,medium,Murray Hill,08:00,16:00,5,1
226,Benares,Casual Dining,medium,Williamsburg,05:00,23:00,5,0
227,Tomato's,Cafe,cheap,Flushing,06:00,12:00,3,0
228,Stoner,Continental,expensive,Flatbush,08:00,13:00,5,0
229,Starbucks Coffee,Fast Food,expensive,Financial District,10:00,15:00,3,0
230,Cakewala,Destination Restaurant,expensive,Red Hook,05:00,20:00,4,0
231,Karnawati Dabeli Centre,Continental,medium,Chelsea,08:00,18:00,3,0
232,The Filter Coffee,Italian,cheap,East Harlem,09:00,14:00,1,1
233,Bansal Namkeen,Cafe,expensive,Flatbush,07:00,11:00,3,1
234,Udupi Shree Darshini Restaurant,Tabletop cooking,cheap,Harlem,02:00,00:00,3,0
235,Preet Eating Zone,Destination Restaurant,medium,Lower East Side,08:00,17:00,5,1
236,Bisaat,Italian,cheap,Hell's Kitchen,07:00,22:00,4,0
237,Tiffin Room - Miraya Hotel & Residences,Continental,medium,East Harlem,11:00,18:00,5,1
238,Just Bake,Fast Casual,medium,Lower Manhattan,06:00,11:00,2,1
239,Dyu Art Cafe,Indian,cheap,Lower East Side,06:00,17:00,2,0
240,TGIH - Thank God It's Healthy,Coffee,medium,Battery Park City,06:00,16:00,4,0
241,Magic Oven,Continental,medium,Financial District,08:00,14:00,4,0
242,DP Cake Studio,Family Style,medium,Flushing,08:00,20:00,1,1
243,Baker's Home,Turkish,cheap,Washington Height,09:00,20:00,3,0
244,Onesta,Pakistani,medium,Long Island City,09:00,12:00,2,1
245,Mainland China,Buffet,cheap,Williamsburg,01:00,11:00,2,0
246,UFO Fries & Corn,Italian,medium,Morningside Heights,08:00,14:00,3,0
247,HOP - Double Tree By Hilton,Indian,expensive,Red Hook,06:00,19:00,4,0
248,Shiro,Fast Casual,cheap,Financial District,03:00,16:00,5,0
249,Masala Mandi,Chinese,cheap,Battery Park City,02:00,14:00,2,0
250,Sotally Tober,Brasserie and Bistro,expensive,Upper West Side,04:00,17:00,5,1
